Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Alves, Tales Picchi",A relevância econômica da garantia de emprego,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-30102012-095442/?&lang=pt-br
"Amado, Talita Dartibale","O direito à negociação coletiva de trabalho no setor público, à luz da convenção...",Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-08102020-205913/?&lang=pt-br
"Amaral, Thiago Clemente do",A inserção de travestis e transexuais femininas no mercado de trabalho formal no...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-11092020-150657/?&lang=pt-br
"Ament, Thiago Henrique",Recurso de revista repetitivo: entre os precedentes da common law e o julgamento...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2018,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-23102020-001824/?&lang=pt-br
"Andrade, Tatiana Guimarães Ferraz",As novas faces da subordinação no contrato de trabalho,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-29102012-135506/?&lang=pt-br
"Aquino, Gabriela Marcassa Thomaz de",As Convenções 138 e 182 da OIT e sua efetividade: análise das ações fiscalizatórias...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-31072020-131532/?&lang=pt-br
"Araujo Neto, Fernando Peixoto de",Estudo do combate à discriminação racial como modo de afirmação dos direitos fundamentais...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-14062012-105851/?&lang=pt-br
"Araujo, Edson Gramuglia",As relações coletivas de trabalho no setor público e a interpretação do direito,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2017,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-19022021-172713/?&lang=pt-br
"Araujo, Edson Gramuglia",As centrais no sistema de representação sindical no Brasil,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-19022013-082754/?&lang=pt-br
"Araujo, Patricia Pires de",Violação dos direitos do trabalhador e suicídio no local de trabalho: acidente ou...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2019,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-04092020-173315/?&lang=pt-br
"Armond, Geraldo Henrique de Souza",A responsabilidade objetiva do empregador no acidente do trabalho,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-18042012-154810/?&lang=pt-br
"Assis, Luís Fabiano de",Ativismo judicial na justiça do trabalho,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-22042013-110316/?&lang=pt-br
"Avila, Priscilla de Oliveira Pinto",Exercício do direito à intimidade no ambiente de trabalho: limites ao poder diretivo...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2011,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-12092012-160324/?&lang=pt-br
"Baboin, José Carlos de Carvalho",A Greve como limite do direito e o direito como limite da Greve: a historicidade...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2020,https://www.teses.usp.br/teses/disponiveis/2/2138/tde-22032021-154224/?&lang=pt-br
"Baboin, José Carlos de Carvalho",O tratamento jurisprudencial da greve política no Brasil,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-10012014-153923/?&lang=pt-br
"Baldini, Renato Ornellas",Distribuição dinâmica do ônus da prova no direito processual do trabalho,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2013,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-05122013-093647/?&lang=pt-br
"Barbosa, Maria da Graça Bonança",Os princípios do processo coletivo e o papel do juíz em prol da efetividade da reparação...,Direito do Trabalho e da Seguridade Social,Tese de Doutorado,Faculdade de Direito,2014,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-21082017-134909/?&lang=pt-br
"Barbugiani, Luiz Henrique Sormani",Igualdade de gênero: o redimensionamento da concepção da igualdade material no âmbito...,Direito do Trabalho e da Seguridade Social,Dissertação de Mestrado,Faculdade de Direito,2012,http://www.teses.usp.br/teses/disponiveis/2/2138/tde-29082013-141418/?&lang=pt-br
